Order,Species,rawdistance,rawstrain,rawstress,rawinitial,rawfinal,standistance,stanstrain,stanstress,staninitial,stanfinal
Brown,Alaria,127.5,0.341,3.522,30.89,3.88,-0.174757282,0.114379085,0.131384517,0.013409883,-0.139927958
Brown,Alaria,172.5,0.216,3.39,39.49,6.51,0.116504854,-0.294117647,0.08898169,0.295550543,0.443059019
Brown,Alaria,217.5,0.241,3.107,31.5,5.54,0.40776699,-0.212418301,-0.001927401,0.033422186,0.228041009
Brown,Alaria,262.5,0.217,3.322,38.57,6.46,0.699029126,-0.290849673,0.067137809,0.265368054,0.431975617
Brown,Complanata,8,0.298,1.218,11.24,2.17,-0.694822888,0.095013123,-0.04811879,0.390843203,-0.111176126
Brown,Complanata,12,0.374,1.261,6.19,1.44,-0.542234332,0.374278215,-0.014513788,-0.234046314,-0.410181393
Brown,Complanata,20.5,0.262,1.311,9.82,2.2,-0.217983651,-0.037270341,0.024561795,0.215131695,-0.098888239
Brown,Complanata,26,0.322,1.889,8.29,2.73,-0.008174387,0.1832021,0.476275539,0.025808733,0.118197776
Brown,Complanata,33,0.271,1.344,6.59,2.83,0.258855586,-0.004199475,0.05035168,-0.184550115,0.159157402
Brown,Complanata,39.5,0.186,1.151,7.62,3.16,0.506811989,-0.316535433,-0.100480071,-0.057097401,0.294324166
Brown,Complanata,44.5,0.192,0.783,6.82,2.56,0.697547684,-0.294488189,-0.388076365,-0.1560898,0.048566413
Brown,Cymathaere,7,0.335,1.076,5.64,1.96,-0.89596603,0.079484425,-0.234072844,-0.414243323,-0.119101124
Brown,Cymathaere,28,0.348,1.211,6.59,2.27,-0.583864119,0.121374866,-0.137976035,-0.315578635,0.020224719
Brown,Cymathaere,46,0.297,1.613,10.05,3.72,-0.316348195,-0.042964554,0.148178906,0.043768546,0.671910112
Brown,Cymathaere,64,,,8.42,,-0.048832272,,,-0.125519288,
Brown,Cymathaere,82,0.414,1.415,9.51,1.09,0.218683652,0.334049409,0.00723692,-0.01231454,-0.51011236
Brown,Cymathaere,107,0.242,1.474,14.07,1.93,0.590233546,-0.22019334,0.049234785,0.461275964,-0.13258427
Brown,Cymathaere,137,0.226,1.64,13.12,2.38,1.036093418,-0.271750806,0.167398268,0.362611276,0.069662921
